@RELATION ..\..\..\data_arff\u001-training.arff
@ATTRIBUTE GestureType  {swipe_left,swipe_right,swipe_up,swipe_down,tap_left,tap_right,tap_up,tap_down,scratchout,circle,square,x,c,two_handed_fb,two_handed_lr,unknown}
@ATTRIBUTE MinX NUMERIC
@ATTRIBUTE MinY NUMERIC
@ATTRIBUTE MaxX NUMERIC
@ATTRIBUTE MaxY NUMERIC
@ATTRIBUTE MeanX NUMERIC
@ATTRIBUTE MeanY NUMERIC
@ATTRIBUTE MedianX NUMERIC
@ATTRIBUTE MedianY NUMERIC
@ATTRIBUTE DiagonalLength NUMERIC
@ATTRIBUTE StartAngleSinXY NUMERIC
@ATTRIBUTE StartAngleCosXY NUMERIC
@ATTRIBUTE FirstLastAngleSinXY NUMERIC
@ATTRIBUTE FirstLastAngleCosXY NUMERIC
@ATTRIBUTE TotalAngleXY NUMERIC
@ATTRIBUTE AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE SquaredTotalAngleXY NUMERIC
@ATTRIBUTE FirstLastDistance NUMERIC
@ATTRIBUTE TotalDistance NUMERIC
@ATTRIBUTE MaxAccelerationSquared NUMERIC
@ATTRIBUTE ZeroCrossingsX NUMERIC
@ATTRIBUTE ZeroCrossingsY NUMERIC
@ATTRIBUTE Stroke_MinX NUMERIC
@ATTRIBUTE Stroke_MinY NUMERIC
@ATTRIBUTE Stroke_MaxX NUMERIC
@ATTRIBUTE Stroke_MaxY NUMERIC
@ATTRIBUTE Stroke_MeanX NUMERIC
@ATTRIBUTE Stroke_MeanY NUMERIC
@ATTRIBUTE Stroke_MedianX NUMERIC
@ATTRIBUTE Stroke_MedianY NUMERIC
@ATTRIBUTE Stroke_DiagonalLength NUMERIC
@ATTRIBUTE Stroke_StartAngleSinXY NUMERIC
@ATTRIBUTE Stroke_StartAngleCosXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleSinXY NUMERIC
@ATTRIBUTE Stroke_FirstLastAngleCosXY NUMERIC
@ATTRIBUTE Stroke_TotalAngleXY NUMERIC
@ATTRIBUTE Stroke_AbsoluteTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_SquaredTotalAngleXY NUMERIC
@ATTRIBUTE Stroke_FirstLastDistance NUMERIC
@ATTRIBUTE Stroke_TotalDistance NUMERIC
@ATTRIBUTE Stroke_MaxAccelerationSquared NUMERIC
@ATTRIBUTE Stroke_SideRatioFirst NUMERIC
@ATTRIBUTE Stroke_SideRatioLast NUMERIC
@ATTRIBUTE Stroke_TopRatioFirst NUMERIC
@ATTRIBUTE Stroke_TopRatioLast NUMERIC
@ATTRIBUTE Duration NUMERIC
@DATA
swipe_left,0,-2.824313,4.033536,0,2.778659,-1.945638,3.226829,-2.25945,4.924039,-0.5735765,0.819152,0.5735765,-0.8191521,6.370451,8.813913,19.96006,2.954423,6.893654,24.24616,0,0,152.5921,130.3333,177.6,147.8441,163.4019,140.2749,160.6591,142.1954,30.52905,0.5735763,-0.8191522,0.5735765,-0.8191521,20.24582,20.24582,51.23665,30.52905,30.52905,48528.54,1,0,0,1,423
swipe_left,0,-5.083763,7.260365,0.5648625,1.532744,-0.9602663,4.840244,-3.389175,9.198906,-1,-4.371139E-08,-0.5735765,-0.8191521,5.759586,14.48623,33.14238,0.9848077,24.62019,78.55755,0,0,162.2726,129.7685,177.6,139.936,169.8263,134.7495,168.7262,135.4171,18.39317,-0.5735632,-0.8191614,0.5309135,-0.847426,7.592175,12.65366,32.02303,18.08705,18.71133,48528.54,1,0,0.05555439,1,470
swipe_left,0,-5.648625,8.067073,2.25945,2.07439,-0.1613893,0,0,11.2967,-0.5735765,-0.8191521,-0.5735765,-0.8191521,-0.6108651,5.67232,13.18232,3.939231,23.63539,96.98463,0,1,163.0793,125.8144,177.6,131.4631,170.3396,128.0739,171.1463,125.8144,15.58072,-0.5735763,-0.8191522,0.07756674,-0.9969872,-2.530728,7.592183,19.21375,14.56462,17.72655,48528.54,1,0,0.7999992,1,329
swipe_left,0,-6.213488,10.4872,3.389175,4.840243,-1.390431,8.87378,-6.213488,14.21944,0.3873301,0.9219411,-0.90291,-0.4298297,2.609613,18.85794,41.97705,1.876807,32.45221,117.958,0,1,114.6768,121.8604,177.6,148.4089,145.8503,134.1663,139.6848,130.8982,68.29459,-0.9029072,-0.4298355,0.2760984,-0.9611294,7.908301,28.21747,73.05743,65.46796,73.82421,48528.54,1,0,0.3191487,1,611
swipe_left,0,-6.213488,11.2939,4.5189,5.01311,-0.6859045,11.2939,-4.5189,15.58,-0.5735765,-0.8191521,-0.5735765,-0.8191521,1.600792,22.31022,49.62027,2.954423,40.38411,147.9727,0,1,107.4165,115.082,177.6,139.936,142.6965,128.0362,146.1384,116.2118,74.45433,-0.5735755,-0.8191527,0.1355592,-0.9907693,5.786408,31.09369,80.82207,70.83743,81.98386,48528.54,1,0,0.6136363,1,658
swipe_left,0,-3.389175,4.840244,0,2.860144,-1.79729,4.840244,-3.389175,5.908847,-0.8138149,0.5811241,-8.742278E-08,-1,2.617994,12.56637,27.11095,1.613415,13.78731,34.91447,0,0,146.1384,130.3333,177.6,150.1035,159.3819,141.1128,155.0122,143.89,37.15767,0.2874269,-0.9578025,0.5320621,-0.8467054,26.13127,26.13127,68.63501,37.15767,37.50232,48528.54,1,0,0,1,517
swipe_left,0,-3.389175,4.840244,0,2.346785,-1.951344,4.840244,-3.389175,5.908847,-1,-4.371139E-08,0.5735765,-0.8191521,8.725374,15.55065,35.22533,1.969615,21.93071,34.91447,0,0,151.7854,130.3333,177.6,151.7981,164.491,141.7718,164.6927,142.7603,33.57279,0.4229891,-0.9061348,0.6393505,-0.7689154,22.01938,22.01938,54.41576,33.57279,34.5615,48528.54,1,0,0,1,517
swipe_left,0,-2.824313,4.033536,0,2.904146,-2.033505,4.033536,-2.824313,4.924039,-0.5735765,0.819152,0.5735765,-0.8191521,8.290314,11.95551,26.73779,1.969615,9.848078,24.24616,0,0,148.5585,130.3333,177.6,150.6684,162.1992,141.1171,162.2726,141.0657,35.45309,0.5735755,-0.8191527,0.5735763,-0.8191522,22.77655,22.77655,57.64123,35.45309,35.45309,48528.54,1,0,0,1,470
swipe_left,0,-3.389175,4.840244,1.129725,2.566796,-1.283778,4.840244,-3.389175,6.621814,0.5735765,0.819152,-0.5735765,-0.8191521,5.688742,10.71735,22.00396,0.9848077,12.78534,34.91447,0,1,149.3652,127.509,177.6,144.4549,163.7515,135.4171,162.2726,135.4171,32.92969,-0.5735726,-0.8191547,0.4473197,-0.8943741,10.12289,25.30728,64.04583,31.56929,34.46827,48528.54,1,0,0.1666665,1,517
swipe_left,0,-2.824313,4.033536,0.5648625,2.10985,-1.303529,3.226829,-2.25945,5.268389,-0.90291,0.4298296,-0.5735765,-0.8191521,7.774686,12.47113,27.63362,0.9848077,11.72488,24.24616,0,1,150.172,129.2036,177.6,147.2792,163.3674,138.2818,161.4659,139.3711,32.84852,-0.573572,-0.8191552,0.5256057,-0.8507283,20.24582,30.36875,76.8551,32.24067,33.48346,48528.54,1,0,0.06249947,1,611
swipe_right,-6.453658,0,0,4.5189,-2.823476,1.977019,0,0,7.878462,0.5735765,-0.8191521,-0.5735765,0.819152,3.92699,11.25737,21.45268,0.9848077,30.52904,62.07016,0,0,177.6,106.6091,211.4817,130.3333,191.6863,120.47,189.7006,121.8604,41.36192,-0.5735705,0.8191562,-0.5735765,0.8191521,-5.497787,5.497787,3.358407,41.36192,41.36192,56090.01,0,1,1,0,564
swipe_right,-5.646951,0,0,3.954038,-3.226829,2.184135,-5.646951,3.954038,6.893654,0.5735765,-0.8191521,-0.5735765,0.819152,12.15031,17.52029,40.08404,0.9848077,13.94767,47.52247,0,0,177.6,97.5713,226.0024,130.3333,202.3054,112.8932,204.2213,110.5631,58.4478,-0.573575,0.8191531,-0.5605347,0.828131,-8.36392,8.36392,5.109639,58.4478,58.71266,60597.26,0,1,1,0,705
swipe_right,-4.840244,0,0,3.389175,-2.482176,1.738039,-3.226829,2.25945,5.908847,0.5735765,-0.8191521,-0.5735765,0.819152,10.21017,15.0971,33.51553,0.9848077,12.8025,34.91447,0,0,177.6,107.7388,209.8683,130.3333,193.0426,119.5202,192.9274,119.6009,39.3923,-0.5735757,0.8191525,-0.5735765,0.819152,-7.330386,7.330386,4.477879,39.3923,39.3923,55652.35,0,1,1,0,611
swipe_right,-3.226829,-0.5648625,0,2.25945,-1.720976,1.129725,-2.420122,1.694588,4.28826,0.5735765,-0.8191521,-0.5735765,0.819152,6.719516,14.74803,29.95151,0.9848077,17.87146,15.51754,0,1,177.6,112.8226,203.4146,130.3333,190.7594,121.2602,190.5073,121.2955,31.19328,-0.573575,0.8191531,-0.5487702,0.8359733,-6.108648,7.33039,4.477884,30.87972,31.51384,54234.23,0,1,1,0.03225822,705
swipe_right,-4.033536,-0.5648625,0,3.954038,-2.366341,1.581615,-2.420122,3.954038,6.057217,0.5735765,-0.8191521,-0.5735765,0.819152,-0.7061039,14.30373,26.91015,0.9848077,13.98433,24.24616,0,1,177.6,105.4794,213.0951,130.3333,198.0198,115.3998,200.9945,111.6929,43.33154,-0.5735773,0.8191514,-0.5556859,0.8313923,-5.885828,8.32928,5.632125,42.69358,44.90138,56775.04,0,1,1,0.04545446,705
swipe_right,-4.840244,-0.5648625,0,3.389175,-2.52096,1.482764,-4.033536,2.824313,6.24999,0,1,-0.5735765,0.819152,7.679448,18.84955,40.66643,0.9848077,14.77212,34.91447,0,1,177.6,106.0442,217.9354,130.3333,197.8626,117.0757,196.961,116.7766,47.08398,-0.573575,0.8191531,-0.5069811,0.8619572,-6.735679,7.957421,4.688652,46.79508,47.86594,58861.32,0,1,1,0.02325592,752
swipe_right,-4.033536,-0.5648625,0,2.824313,-1.91593,1.129725,-2.420122,1.694588,5.268389,-0.5735765,0.819152,-0.5735765,0.819152,6.108651,15.3589,30.32466,0.9848077,13.93223,24.24616,0,1,177.6,111.6929,208.2549,130.3333,191.8835,120.93,189.7006,121.8604,35.8774,-0.5735757,0.8191525,-0.507924,0.8614019,-6.445421,7.667144,4.591281,35.5872,36.54613,55971.89,0,1,1,0.03030318,752
swipe_right,-4.840244,-1.129725,0,3.389175,-2.606285,1.477333,-4.033536,2.824313,6.621814,0.5735766,-0.8191519,-0.5735765,0.8191521,2.30143,11.42167,24.30628,2.954423,15.6238,24.70424,0,1,177.6,109.4334,211.4817,130.3333,197.0186,117.5433,200.1878,114.5172,39.80924,-0.5735766,0.8191519,-0.4931232,0.8699595,-4.061048,7.661238,6.50621,38.9463,42.39862,57073.95,0,1,1,0.0810811,611
swipe_right,-4.840244,-0.5648625,0,2.824313,-2.635243,1.543957,-4.033536,2.824313,5.908847,0.5735765,-0.8191521,-0.5735765,0.819152,4.799655,13.5263,29.20519,0.9848077,11.96261,28.53308,0,2,177.6,106.6091,217.1287,130.3333,199.5828,116.2118,202.6079,112.8226,46.10155,-0.5735765,0.819152,-0.5055146,0.8628181,-5.66041,8.10388,4.782018,45.81343,47.168,58631.12,0,1,1,0.02380964,705
swipe_right,-3.226829,-0.5648625,0,2.824313,-2.047796,1.433882,-3.226829,2.25945,4.67963,0.5735765,-0.8191521,-0.5735765,0.819152,4.545828,13.082,28.00677,0.9848077,9.755269,15.51754,0,1,177.6,111.128,204.2213,130.3333,191.3717,120.2062,192.9274,119.6009,32.8259,-0.573575,0.8191531,-0.5735763,0.8191521,-6.229989,7.451712,4.898156,32.49865,33.5593,54181.66,0,1,1,0.0294119,611
swipe_up,-1.613415,0,1.613415,5.083763,-0.3025152,3.036136,0,3.389175,6.021384,-0.90291,0.4298296,-1,-4.371139E-08,4.1899,11.81806,25.96812,4.5189,18.11242,26.49542,2,0,176.7933,106.0442,180.0201,130.3333,178.586,115.9607,178.4067,115.082,24.50249,-0.9964899,0.08371327,-0.9950728,0.09914719,-11.0109,11.0109,18.58121,24.40936,25.83642,48528.54,0.2500024,1,1,0,376
swipe_up,0,0,1.613415,5.648625,0.7170731,3.138125,0.8067073,3.954038,5.874527,1,-4.371139E-08,-1,-4.371139E-08,-1.832118,10.03516,19.03715,4.5189,12.38844,31.90697,0,0,171.1463,102.0902,177.6,130.3333,174.3732,112.8226,174.3732,108.8686,28.97108,-0.9844365,-0.1757406,-0.9748728,-0.2227621,-14.72169,14.72169,27.33808,28.97108,29.44579,48528.54,1,0,1,0,423
swipe_up,-3.226829,0,1.613415,6.213488,-0.5041921,3.742214,-2.420122,6.213488,7.876255,0.7242401,0.689548,-0.5735765,0.819152,1.487042,10.85828,23.91433,3.939231,19.59978,44.46442,1,0,177.6,100.3956,181.6335,130.3333,180.0201,113.9523,178.4067,112.8226,30.2082,-0.9615459,0.2746443,-0.9910456,0.1335241,-9.95942,9.95942,15.36753,30.2082,32.6017,49101.26,0,1,1,0,376
swipe_up,-3.226829,0,0.8067073,6.213488,-0.9533813,3.337824,-1.613415,3.389175,7.407891,-0.1386882,-0.9903361,-0.9615455,-0.2746458,-1.355331,13.74496,26.20814,2.937264,25.65269,39.25821,2,0,176.7933,93.61727,188.0872,130.3333,182.5747,109.4334,182.4402,105.4794,38.41381,-1,-4.371139E-08,-0.9615455,0.2746456,-13.05369,13.05369,18.25718,38.18442,40.56382,48528.54,0.07142944,1,1,0,517
swipe_up,-2.420122,0,5.646951,6.213488,1.048719,3.332689,-0.8067073,2.824313,10.18259,0,1,-0.5735765,-0.8191521,-2.645428,14.28427,29.27066,5.908847,19.88997,47.52247,3,0,162.2726,97.00645,177.6,130.3333,166.8195,110.974,162.2726,108.3037,36.68258,-0.5735761,-0.8191523,-0.9538869,-0.3001662,-15.77346,15.77346,30.72948,34.93798,42.58083,48528.54,1,0.3157893,1,0,470
swipe_up,-1.613415,0,4.033536,5.648625,1.083721E-08,2.464854,-1.613415,5.648625,7.987179,-0.5735765,-0.8191521,-0.5735765,-0.8191521,-8.082675,14.93973,27.91191,4.924039,20.16862,34.51007,1,0,172.7598,103.2199,177.6,130.3333,175.4488,116.0235,175.1799,112.8226,27.54205,-0.5735759,-0.8191524,-1,-4.371139E-08,-12.2804,12.2804,20.22029,27.1134,29.96072,48528.54,1,1,1,0,517
swipe_up,-4.033536,0,3.226829,6.77835,-0.06722561,2.777241,-1.613415,3.389175,9.932721,0.0775665,-0.9969872,-0.5735765,-0.8191521,-2.380577,16.34255,40.84928,3.939231,28.02456,45.94603,5,0,171.1463,97.00645,178.4067,130.3333,175.9866,110.9542,175.1799,108.3037,34.10856,-0.5735763,-0.8191522,-0.9997072,0.02419863,-16.83446,16.83446,30.1047,33.33664,40.51785,48528.54,0.8888896,1,1,0,564
swipe_up,-4.033536,0,0.8067073,5.083763,-0.5133591,2.310801,0,2.25945,7.019444,0.1386881,0.9903361,-0.5735765,0.8191521,-6.290749,13.44742,27.05199,4.924039,16.22663,26.49542,2,0,177.6,104.9145,184.8604,130.3333,182.4403,114.7055,183.2469,112.8226,26.43537,-0.9258871,0.3778003,-0.9762007,0.216869,-14.68878,14.68878,24.27403,26.03851,29.10934,49249.29,0,0.7777771,1,0,517
swipe_up,-1.613415,0,0.8067073,2.824313,-0.3226829,2.372423,0,2.25945,3.719373,0,1,-0.9615455,0.2746458,-5.782844,7.004574,16.16301,2.937264,8.844566,8.627519,2,0,177.6,106.6091,180.8268,130.3333,179.7268,117.0334,180.0201,116.2118,23.94266,-0.9615459,0.2746443,-0.9908765,0.1347729,-12.96062,12.96062,19.35935,23.94266,24.91884,48528.54,0,1,1,0,470
swipe_up,-1.613415,0,3.226829,2.824313,0,1.21042,0,1.129725,5.60399,-0.5735765,0.819152,-0.5735765,0.819152,-2.244398,12.43231,25.00095,1.969615,14.49989,15.51754,2,0,176.7933,113.3875,180.8268,130.3333,178.2992,122.6135,176.7933,122.9901,17.4193,-0.5735765,0.819152,-1,-4.371139E-08,-14.58195,14.58195,24.17575,16.94587,20.6006,49101.26,0.2000023,0.2000023,1,0,658
tap_down,-8.067073,-13.5567,5.646951,9.037801,-1.290732,-1.280355,-1.613415,1.129725,26.43078,-0.9497494,0.3130113,0.90291,0.4298297,5.192204,23.16061,48.20528,5.63042,53.88157,183.7841,3,1,171.1463,130.3333,197.7677,178.9115,184.2553,159.6356,174.3732,176.6521,55.39437,0.9798158,0.1999026,0.7042477,0.7099543,2.275302,19.37532,33.93176,27.27071,97.14845,64526.71,0.2424243,0.9696966,0,0.395349,705
tap_down,-7.260365,-13.5567,3.226829,13.5567,-0.7058689,0.2118233,-7.260365,5.083763,29.07091,-0.9615455,-0.2746459,0.9417735,-0.3362479,-8.362455,20.20746,38.56366,4.798288,67.10053,183.7841,3,1,171.1463,126.9442,188.8939,180.0412,179.6879,152.7949,171.1463,177.7818,55.98459,0.9417732,-0.3362487,-0.2874255,0.957803,-1.950703,18.77217,30.88357,11.79146,113.9414,62820.85,0.3636364,1,0.06382966,0,752
tap_down,-9.680488,-12.99184,3.226829,13.5567,-0.9965208,0.03322747,0.8067073,0.5648625,29.51989,-0.9916769,-0.128751,1,-4.371139E-08,-9.60316,23.39126,48.19259,2.25945,77.99379,183.7841,5,1,174.3732,129.7685,194.5408,189.6439,184.95,158.6392,184.0537,189.079,63.18071,0.9940196,-0.1092018,-0.03332397,0.9994446,-0.4800106,21.10861,34.69097,16.95026,130.3448,70766.46,0.1600004,1,0.009433751,0,799
tap_down,-9.680488,-13.5567,3.226829,13.5567,-0.8515244,0.2196686,3.226829,2.25945,30.02891,-0.4473197,-0.8943741,0.90291,0.4298297,1.35329,24.4266,47.93058,1.876807,82.23759,183.7841,4,1,177.6,126.3793,192.9274,182.8656,187.323,155.5738,186.4738,182.8656,58.52886,0.9497495,0.313011,-0.249793,0.9682993,-0.5204794,21.47067,34.92846,15.82924,120.9475,68212.28,0,1,0.0699999,0,846
tap_down,-8.87378,-13.5567,6.453658,13.5567,-0.3137195,0.2196686,-3.226829,5.648625,31.1459,-0.9728217,0.2315556,1,-4.371139E-08,-6.286153,26.47366,53.98703,4.5189,76.2071,183.7841,5,1,164.6927,126.3793,184.0537,189.079,176.3687,158.19,164.6927,187.9493,65.62093,1,-4.371139E-08,-0.5735766,0.8191519,1.21602,26.12031,46.06641,6.893644,138.7842,63408.6,0.6666667,0.9583328,0.06306298,0,846
tap_down,-4.033536,-12.99184,8.067073,13.5567,0.08067073,1.694587,0,2.25945,29.17618,-0.9876427,0.1567222,1,-4.371139E-08,-2.495904,23.07855,40.81342,1.129725,73.04076,183.7841,3,1,167.9195,96.44158,177.6,166.4845,174.7573,141.1464,177.6,166.4845,70.70874,1,-4.371139E-08,-0.9988688,-0.04755126,-6.13798,23.44991,40.11692,33.93013,113.9217,59258.86,1,0.8333331,0.483871,0,940
tap_down,-6.453658,-10.73239,2.420122,13.5567,-0.2420121,1.016753,1.613415,1.129725,25.85931,-0.9940197,0.1092006,1,-4.371139E-08,-0.3901454,26.38007,49.10719,1.129725,67.8716,183.7841,5,1,175.9866,109.9983,188.0872,177.7818,181.7104,148.92,184.0537,177.7818,68.85512,1,-4.371139E-08,-0.9728217,0.2315554,-4.444504,24.64672,40.59857,20.90316,122.2661,65482.11,0.1333338,0.5333338,0.2999999,0,940
tap_down,-3.226829,-13.5567,9.680488,12.42698,0.7170732,0.06276238,0,0,29.01293,-0.9728217,-0.2315555,0.9615455,-0.2746458,-4.130543,24.89071,49.05919,2.937264,85.72513,183.7841,4,1,162.2726,129.2036,178.4067,177.2169,171.4011,154.4143,171.953,177.2169,50.65163,1,-4.371139E-08,-0.08719174,-0.9961916,0.1267504,21.17579,37.79807,12.95666,104.9154,61384.06,0.9500003,0.1499999,0.02352921,0,846
tap_down,-3.226829,-13.5567,9.680488,12.99184,0.7618902,0.6590064,4.840244,3.389175,29.51989,-0.9258868,-0.377801,0.90291,-0.4298297,-0.1602603,22.2894,42.42094,1.876807,77.49128,183.7841,4,1,160.6591,118.4712,181.6335,182.8656,170.9765,151.1441,175.1799,182.8656,67.72411,0.9940198,0.1091998,-0.6541935,-0.7563272,-2.044017,23.74955,42.24349,18.13241,129.7305,64127.8,0.8076928,0.1538459,0.1842104,0,846
tap_down,-1.613415,-13.5567,5.646951,12.99184,0.6722562,0.2196687,0,0,27.52341,-0.9964898,-0.08371384,0.5735765,0.819152,-6.340044,21.79104,39.22424,0.9848077,61.20244,183.7841,1,1,165.4994,126.3793,180.8268,189.6439,172.8447,156.6143,173.5665,189.6439,65.09486,0.9615461,0.2746436,-0.3106014,-0.9505402,-0.9364336,22.54617,38.3789,12.73025,127.181,66598.17,0.7894741,0,0.06249992,0,846
